Ham thịt chay,0,42,1000
Ham thịt hạt chia,80000,42,1000
Ham thịt mini,32000,42,200
Ham gà chay,150000,24,1000
Ham gà mini,32000,24,200
Ham gà đặc biệt,85000,24,500
Ham gà hạt chia,150000,24,1000
Chả lụa chay Hỷ Lạc,65000,42,1000
Chả lụa chay Liên Tâm,75000,42,1000
Chả nấm chay,45000,42,500
Giò lụa chay Hà Nội,43000,42,500
Giò thủ,65000,42,500
Chả quế chay Hỷ Lạc,0,42,500
Chả quế chay Liên Tâm,0,42,500
Chả cá chay Hỷ Lạc,0,42,500
Chả cá chay Liên Tâm,0,42,500
Heo quay Liên Hoa,0,23,500
Heo sữa quay Âu Lạc,0,23,500
Heo sữa quay nguyên con Chí Huệ,0,23,500
Ba rọi chay Cát Tường,0,23,200
Sườn non chay 'A',0,23,1000
Sườn non chay ,0,23,1000
Thịt viên chay,0,23,1000
Thịt xay chay,0,23,1000
Thịt soi chay,140000,23,1000
Heo lát chay ,17000,23,1000
Sườn dừa chay,40000,23,500
Sườn non chay Âu Lạc,32000,23,200
Sườn cốc lếch nướng chay Âu Lạc,155000,23,1000
Sườn ram xá xíu Âu Lạc,140000,23,1000
Humberger thịt chay Âu Lạc,170000,23,1000
Hamberger Thịt cục Âu Lạc,170000,23,1000
Nem nướng chay Âu Lạc,150000,23,1000
Thịt kho tiêu chay,120000,23,1000
Thịt dê chay Cát Tường,170000,42,1000
Gà lát chay,125000,24,1000
Cánh gà chay Hương vị,0,24,1000
Cánh gà chay Âu Lạc,0,24,1000
Gà nữa con Âu Lạc,35000,24,1000
Đùi gà xả,65000,24,1000
Tôm trân châu Âu Lạc,32000,42,130
Chả tôm cây,10000,42,0
Tôm hùm chay,70000,42,1000
Bò nướng sả,0,26,200
Cá thu chay Âu Lạc,45000,27,200
Cá kèo chay Âu Lạc,38000,27,200
Cá loc chay Âu Lạc,23000,27,200
Cá sặc chay Âu Lạc,48000,27,200
Cá mặn chay Âu Lạc,43000,27,200
Cá bạc má chay Âu Lạc,50000,27,320
Cá kèo chay,55000,27,500
Cá thu chay ,55000,27,500
Cá bống kho chay,55000,27,1000
Thit heo chan nam,28000,23,100
Tàu hủ chiên Ichiban,13000,42,1
Tàu hủ non hộp Ichiban,11000,42,1
Tàu hủ non cây Ichiban,7000,42,1
Tàu hủ non trứng Ichiban,9000,42,1
Bánh bao chay Âu Lạc,30000,31,1
Bánh giò chay,12000,31,1
Bánh chưng chay,20000,31,1
Bánh mè vị ngọt,40000,31,1
Bánh mè vị mặn,40000,31,1
Bánh cốm gạo lức yến mạch,35000,31,1
Há cảo chay Cầu Tre,35000,31,500
Chả giò chay Cầu Tre,32000,42,500
Chả giò rế chay đặc biệt,40000,42,500
Rong biển ăn liền Bibigo,10000,42,1
Chao bông mai lớn,0,42,1
Chao bông mai trung,0,42,1
Chao bông mai nhỏ,15000,42,1
Chao đại VP,35000,42,1
Chao trung VP,22000,42,1
Chao nhỏ VP,10000,42,1
Chao môn Dũ Phong trung,25000,42,1
Chao môn Dũ Phong nhỏ,12000,42,1
Chao môn VP trung,25000,42,1
Chao đậu xanh vị tiêu,17000,42,1
Chao đậu xanh vị ớt,17000,42,1
Chao đỗ,12000,42,1
Mì không chiên New way sốt ,6500,42,1
Mì nosa 365 vị soup miso,4500,42,1
Mì chay lẫu thái Vifon,3500,42,1
Cháo dưỡng sinh yến mạch,14000,42,1
Rong biển Tịnh Hương,35000,42,1
Canh đậu hủ rong biển,45000,42,1
Nấm đông cô khô,350000,42,1000
Nấm mèo,200000,42,1000
Chân nấm đông cô,20000,42,1
